Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythro	4.09585759052e-08	2.38766700775e-08	0.04313390106
MEP	1.72981249185e-08	1.32293502119e-08	0.0955118633011
CLP	2.11474575587e-08	1.90132532846e-08	0.133015715278
LMPP	1.74901416796e-08	1.62518277214e-08	0.140919945939
Bcell	1.68590511321e-08	1.84461302338e-08	0.180368562629
GMP	1.18683142593e-08	1.31369418402e-08	0.183148722809
CMP	9.81922806257e-09	1.29337654825e-08	0.223868467527
MPP	-8.46768083659e-10	1.50222981665e-08	0.522475441803
CD4	-9.49363858608e-10	1.59918310072e-08	0.523669524501
Mono	-2.1820376007e-09	2.20493191859e-08	0.539415650945
HSC	-2.20617092272e-09	1.36658385384e-08	0.564125356118
CD8	-1.59392138827e-08	1.41129734773e-08	0.870635756806
NK	-2.86219289298e-08	1.62609977514e-08	0.960809508537
