Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A06.407.312.782.Testis	1.8169492442e-09	1.21765875877e-09	0.067827790244
A11.329.114.Adipocytes	2.51804409042e-09	1.77161263718e-09	0.0776105951464
A11.872.190.Embryonic.Stem.Cells	2.81652052736e-09	1.99453095358e-09	0.0789570587752
A05.360.Genitalia	1.88202668148e-09	1.37737758699e-09	0.0859092357822
A11.436.348.Hepatocytes	2.6240127302e-09	1.92873597669e-09	0.0868385462366
A11.872.653.Neural.Stem.Cells	2.12291149502e-09	1.61351833655e-09	0.0941368132037
A03.734.Pancreas	1.82052719261e-09	1.44796888949e-09	0.104323023488
A03.620.Liver	1.33785584894e-09	1.27202382186e-09	0.146456267376
A08.186.211.464.Limbic.System	9.15372668292e-10	8.82454326093e-10	0.149797294856
A08.186.211.730.885.287.500.Cerebral.Cortex	8.84433495343e-10	8.65762108863e-10	0.153493079635
A05.360.319.679.690.Myometrium	1.26840444053e-09	1.25754780364e-09	0.156575294191
A06.407.312.Gonads	9.87350294114e-10	1.02076213901e-09	0.16670510145
A15.382.520.604.800.Palatine.Tonsil	1.47249042295e-09	1.54722948309e-09	0.170625865883
A08.186.211.464.405.Hippocampus	7.66879408496e-10	8.21910708321e-10	0.175398451588
A04.411.Lung	1.31640102677e-09	1.48348473728e-09	0.187439651585
A05.360.319.Genitalia..Female	1.30741404689e-09	1.52476081471e-09	0.195596689567
A03.556.124.526.767.Rectum	1.56170037383e-09	1.96526189084e-09	0.213407820392
A11.872.040.Adult.Stem.Cells	1.19878158747e-09	1.5561954375e-09	0.220552548174
A03.556.875.Upper.Gastrointestinal.Tract	1.37071930816e-09	1.78417277822e-09	0.221164580798
A03.556.249.249.356.668.Colon..Sigmoid	1.33375467178e-09	1.77363697088e-09	0.226028976018
A03.556.249.249.356.Colon	1.40361552106e-09	1.89013800783e-09	0.228862098629
A10.336.707.Prostate	9.25365412532e-10	1.27381884858e-09	0.233781544163
A03.556.875.875.Stomach	1.13663533493e-09	1.65938277311e-09	0.246679920684
A03.556.124.Intestines	1.27783080826e-09	1.91651839179e-09	0.252467222574
A03.556.124.369.Intestinal.Mucosa	1.25554076937e-09	1.90852070785e-09	0.255313822814
A08.186.211.730.885.287.500.571.735.Visual.Cortex	5.5018322164e-10	8.68031487773e-10	0.263096328462
A03.556.124.684.Intestine..Small	1.26890290515e-09	2.03853460568e-09	0.266820258384
A03.556.249.124.Ileum	1.28481543996e-09	2.10131719233e-09	0.270456360201
A06.407.071.Adrenal.Glands	7.22611479417e-10	1.22085418251e-09	0.276962098596
A05.360.319.114.630.Ovary	6.15498464499e-10	1.0518609222e-09	0.279222776843
A06.407.Endocrine.Glands	5.90869253503e-10	1.02365071996e-09	0.281896220821
A08.186.211.Brain	4.8279689871e-10	8.55202096877e-10	0.28619290256
A03.556.249.249.209.Cecum	9.95605167458e-10	1.78666323179e-09	0.288680785845
A11.118.637.555.567.562.B.Lymphocytes	5.81435083998e-10	1.06317955128e-09	0.292229473377
