Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pancreas	3.7207889368e-09	9.37006523303e-10	3.57960467247e-05
Liver	1.80352622156e-09	1.15795134407e-09	0.0596741685333
Uterus	2.1248275717e-09	1.60738204963e-09	0.0930976970714
Thyroid	1.42725781784e-09	1.31396080325e-09	0.13868960436
Stomach	5.12106862326e-10	8.78757155898e-10	0.280026540656
Adipose_Subcutaneous	6.64428291202e-10	1.33577570316e-09	0.309449951533
Cervix_Endocervix	6.94894779522e-10	1.4479914361e-09	0.315648344718
Adrenal_Gland	4.33147070078e-10	1.132443132e-09	0.351049333778
Kidney_Cortex	2.97287213511e-10	9.02742316014e-10	0.370958540996
Esophagus_Gastroesophageal_Junction	2.61096566428e-10	1.07831113234e-09	0.404337887083
Heart_Left_Ventricle	1.40151385672e-10	9.14249591924e-10	0.439082177235
Artery_Tibial	1.60723526756e-10	1.22523360197e-09	0.447817303315
Cells_EBV-transformed_lymphocytes	1.1598737091e-10	1.37495955721e-09	0.466386323934
Testis	6.01752373586e-11	8.87866901615e-10	0.472982346504
Ovary	6.44803400968e-11	1.30245202215e-09	0.480257675975
Heart_Atrial_Appendage	-8.11899809627e-13	8.95513891277e-10	0.500361693013
Breast_Mammary_Tissue	-6.32505606028e-11	1.37763909699e-09	0.518309919263
Bladder	-5.93573496387e-11	1.16758463836e-09	0.520272586219
Colon_Transverse	-2.13843928732e-10	1.65667168728e-09	0.551353004827
Cervix_Ectocervix	-2.70584692458e-10	1.29449026664e-09	0.582786803993
Nerve_Tibial	-2.66624785193e-10	1.12858855364e-09	0.593379193877
Fallopian_Tube	-4.55910111376e-10	1.50611976375e-09	0.618942688952
Prostate	-3.75513867797e-10	9.95611864194e-10	0.646975968149
Esophagus_Muscularis	-5.26140046904e-10	1.16831452456e-09	0.673767745639
Artery_Aorta	-5.61558233306e-10	1.05507034243e-09	0.702722601178
Skin_Sun_Exposed_(Lower_leg)	-5.26547345325e-10	9.82428858788e-10	0.7040085815
Small_Intestine_Terminal_Ileum	-5.46360059516e-10	9.75188581319e-10	0.712349263034
Muscle_Skeletal	-8.08530698981e-10	1.0673966743e-09	0.775618566228
Minor_Salivary_Gland	-6.7138565042e-10	8.69579693228e-10	0.779966667535
Skin_Not_Sun_Exposed_(Suprapubic)	-7.82934600729e-10	1.00161777666e-09	0.782795741373
Cells_Transformed_fibroblasts	-8.02605022597e-10	9.51035490971e-10	0.800645045365
Adipose_Visceral_(Omentum)	-9.95846710748e-10	1.16718295582e-09	0.80322727397
Esophagus_Mucosa	-9.25321905973e-10	9.31882239295e-10	0.839635306751
Whole_Blood	-1.02478964478e-09	9.05724312683e-10	0.871068959517
Pituitary	-1.23763313006e-09	9.52386810785e-10	0.903114968106
Artery_Coronary	-1.46000508619e-09	1.04267870484e-09	0.919279937767
Brain_Frontal_Cortex_(BA9)	-1.12972992881e-09	7.92555193237e-10	0.922983161176
Brain_Substantia_nigra	-9.76486841007e-10	6.84392214073e-10	0.92318038814
Brain_Spinal_cord_(cervical_c-1)	-1.05117934145e-09	7.09791002936e-10	0.930692746034
Brain_Cerebellum	-1.30452194824e-09	8.21558125404e-10	0.943841366461
Brain_Cerebellar_Hemisphere	-1.39909547576e-09	8.1796262733e-10	0.956409930371
Colon_Sigmoid	-1.86689451446e-09	1.00936441437e-09	0.967812537557
Brain_Nucleus_accumbens_(basal_ganglia)	-1.45985427539e-09	7.73702147262e-10	0.970409259353
Brain_Caudate_(basal_ganglia)	-1.46832269708e-09	7.77521522048e-10	0.970518268338
Brain_Cortex	-1.56319350688e-09	8.14911464414e-10	0.972459530992
Brain_Putamen_(basal_ganglia)	-1.57286597114e-09	7.77480887853e-10	0.978464893836
Vagina	-1.92587799629e-09	9.48197849432e-10	0.97887721831
Spleen	-1.98705290517e-09	9.74644247739e-10	0.979262351113
Brain_Anterior_cingulate_cortex_(BA24)	-1.73686870312e-09	7.66353928076e-10	0.988286714248
Brain_Amygdala	-2.01057665342e-09	8.21035543651e-10	0.992833950704
Brain_Hippocampus	-1.8714857075e-09	7.58859177893e-10	0.99317192534
Brain_Hypothalamus	-1.81975168509e-09	7.12425913416e-10	0.994679969788
Lung	-2.70555549895e-09	7.49656749896e-10	0.999846345188
