Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Brain_Nucleus_accumbens_(basal_ganglia)	1.77074249105e-09	9.01932221942e-10	0.0248070172769
Brain_Caudate_(basal_ganglia)	1.05074607931e-09	8.67889924914e-10	0.113007024075
Brain_Anterior_cingulate_cortex_(BA24)	3.56511105476e-10	7.18435906506e-10	0.309865260776
Brain_Putamen_(basal_ganglia)	-1.61340051658e-10	9.40161699236e-10	0.568127468467
Brain_Hypothalamus	-2.7730329732e-10	1.28346309586e-09	0.585528982554
Brain_Spinal_cord_(cervical_c-1)	-7.82679987425e-10	1.25502187174e-09	0.733567497597
Brain_Amygdala	-5.45603682198e-10	8.21116248646e-10	0.746803891201
Brain_Hippocampus	-6.55790084611e-10	8.82514445673e-10	0.77128723505
Brain_Cerebellum	-9.14402355916e-10	1.16687555514e-09	0.783372297988
Brain_Cerebellar_Hemisphere	-8.29920685859e-10	1.04044219832e-09	0.78746652462
Brain_Frontal_Cortex_(BA9)	-6.65879646325e-10	7.20971524753e-10	0.822149205977
Brain_Substantia_nigra	-1.05884299593e-09	7.03554926607e-10	0.933836651826
Brain_Cortex	-1.31463116271e-09	8.66676753298e-10	0.935349545481
