Name	Coefficient	Coefficient_std_error	Coefficient_P_value
T.4SP24int.Th	3.286024802e-09	1.42377781279e-09	0.0105006306539
T.DP69+.Th	2.95260903183e-09	1.28408820843e-09	0.010741634786
B.T3.Sp	2.49901670081e-09	1.08683941564e-09	0.0107427323857
proB.CLP.FL	2.97879648937e-09	1.36175398716e-09	0.0143541022128
CD19Control	2.2412146928e-09	1.12680780443e-09	0.0233508968314
Tgd.vg2+24ahi.e17.Th.v2	2.45946641306e-09	1.35008722599e-09	0.0342495554278
T.4SP69+.Th	2.50436999143e-09	1.38760380687e-09	0.0355517151326
B.FrF.BM	2.04367189281e-09	1.13833787431e-09	0.0363019848194
B.T2.Sp	2.00958734919e-09	1.14097928918e-09	0.0390952636047
proB.FrA.BM	2.77535176514e-09	1.85818969798e-09	0.0676429405256
Tgd.vg2+24ahi.Th	2.21292572657e-09	1.49962171299e-09	0.0700181364095
proB.CLP.BM	1.697602533e-09	1.16695893962e-09	0.072872919147
B.Fo.LN	2.30574964133e-09	1.59030894543e-09	0.0735466497529
B.Fo.Sp	1.59655069038e-09	1.13388981698e-09	0.0795611180653
Tgd.vg4+24ahi.e17.Th	1.88162092612e-09	1.35921859683e-09	0.0831271571764
ILC1.CD49b-.Lv	1.23378055779e-09	9.41865731195e-10	0.0951093310621
NK.49H-.Sp	1.42268894019e-09	1.08859974053e-09	0.0956236595532
T.DPbl.Th	1.51812862873e-09	1.1643007571e-09	0.0961342982726
NK.49CI-.Sp	1.31605799403e-09	1.05454667821e-09	0.106018351992
Tgd.vg3+24ahi.e17.Th	1.48689688983e-09	1.22697956105e-09	0.112787756117
T.DP.69-.e17.Th.v2	1.17301217268e-09	9.79328966161e-10	0.115503022865
B.Fo.MLN	1.91642714168e-09	1.62701177931e-09	0.119421917521
SC.LTSL.FL	1.39422634769e-09	1.1991278059e-09	0.122475545033
Tgd.Th	1.77335154673e-09	1.52553648821e-09	0.122527471984
NK.49H+.Sp	1.39994150691e-09	1.26603296128e-09	0.134413000594
SC.LT34F.BM	1.27121424181e-09	1.15903051741e-09	0.136366382388
SC.STSL.FL	1.19853818671e-09	1.15428510564e-09	0.149556341737
NK.DAP12-.Sp	1.25343077629e-09	1.24411781073e-09	0.156850737658
MLP.FL	1.36010048207e-09	1.42525470574e-09	0.16996946943
proB.FrBC.BM	1.67351847816e-09	1.7999382653e-09	0.176246547387
preT.ETP.Th	1.19383105167e-09	1.28597227122e-09	0.176613286234
proB.FrBC.FL	1.19979116556e-09	1.30626491259e-09	0.179181214786
T.DP.Th	8.31212902022e-10	9.08308023124e-10	0.180063721897
B.FrE.FL	1.02063322152e-09	1.14101196087e-09	0.185527678317
Tgd.vg2+24ahi.e17.Th	1.14425101461e-09	1.28020183516e-09	0.185713072169
